Domain,Ekspektasi,Prediksi,Confidence,P_Negatif,P_Edukasi,P_Hiburan,P_Netral,Benar
pornhub.com,negatif,negatif,100.00%,100.00%,0.00%,0.00%,0.00%,True
slot-gacor88.com,negatif,negatif,100.00%,100.00%,0.00%,0.00%,0.00%,True
bet365.com,negatif,negatif,100.00%,100.00%,0.00%,0.00%,0.00%,True
kemdikbud.go.id,edukasi,edukasi,100.00%,0.00%,100.00%,0.00%,0.00%,True
khanacademy.org,edukasi,edukasi,100.00%,0.00%,100.00%,0.00%,0.00%,True
wikipedia.org,edukasi,edukasi,99.95%,0.01%,99.95%,0.03%,0.00%,True
tiktok.com,hiburan,hiburan,99.95%,0.01%,0.02%,99.95%,0.02%,True
netflix.com,hiburan,hiburan,100.00%,0.00%,0.00%,100.00%,0.00%,True
youtube.com,hiburan,hiburan,100.00%,0.00%,0.00%,100.00%,0.00%,True
gateway.icloud.com,netral,netral,100.00%,0.00%,0.00%,0.00%,100.00%,True
bing.com,netral,netral,100.00%,0.00%,0.00%,0.00%,100.00%,True
secure.globalsign.com,netral,netral,99.83%,0.17%,0.00%,0.00%,99.83%,True
